,O_Rank,Team,O_Games_Played,O_Points_For,O_Total_Yards,O_Plays,O_Y/Play,O_TO,O_Fumbles_Lost,O_1st_D,O_P_Completions,O_P_Attempts,O_P_Yards,O_P_TD,O_P_Int,O_P_Y/PA,O_P_Passing_1st_D,O_R_Att,O_R_Yards,O_R_TD,O_R_Y/A,O_R_1st_D,O_Pe,O_Pe_Yards,O_Pe_1st_D,O_Scoring_Drives,O_TO_%,O_Expected_Points,Year,D_Rank,D_Games_Played,D_Points_Allowed,D_Total_Yards,D_Plays,D_Y/Play,D_TD,D_Fumbles_Lost,D_1st_D,D_P_Completions,D_P_Attempts,D_P_Yards,D_P_TD,D_P_Int,D_P_Y/PA,D_P_Passing_1st_D,D_R_Att,D_R_Yards,D_R_TD,D_R_Y/A,D_R_1st_D,D_Pe,D_Pe_Yards,D_Pe_1st_D,D_Scoring_Drives,D_TD_%,D_Expected_Points
21,22,Arizona Cardinals,13,334.7692307692308,5190.153846153846,996.9230769230769,5.2,14.76923076923077,3.6923076923076925,301.53846153846155,361.84615384615387,564.9230769230769,3417.846153846154,19.692307692307693,11.076923076923077,5.5,177.23076923076923,374.15384615384613,1772.3076923076924,13.538461538461538,4.7,96.0,126.76923076923077,999.3846153846154,28.307692307692307,46.52307692307692,8.4,39.22461538461538,2019,30,16.0,460.3076923076923,6635.076923076923,1080.6153846153845,6.1,17.23076923076923,9.846153846153847,384.0,425.84615384615387,593.2307692307693,4707.692307692308,39.38461538461539,7.384615384615385,7.4,249.84615384615384,446.7692307692308,1927.3846153846155,8.615384615384615,4.3,96.0,112.0,1033.8461538461538,38.15384615384615,55.75384615384615,9.5,-198.63384615384615
22,23,Pittsburgh Steelers,13,318.7692307692308,4641.2307692307695,941.5384615384615,4.9,25.846153846153847,9.846153846153847,275.6923076923077,317.53846153846155,504.61538461538464,3127.3846153846152,19.692307692307693,16.0,5.9,151.3846153846154,409.84615384615387,1513.8461538461538,7.384615384615385,3.7,77.53846153846153,116.92307692307692,962.4615384615385,46.76923076923077,39.13846153846154,13.9,-54.74461538461538,2019,5,16.0,297.84615384615387,4974.7692307692305,1031.3846153846155,4.8,40.61538461538461,18.46153846153846,312.61538461538464,337.2307692307692,544.0,3356.3076923076924,25.846153846153847,22.153846153846153,5.6,180.92307692307693,428.3076923076923,1618.4615384615386,6.153846153846154,3.8,98.46153846153847,120.61538461538461,1209.8461538461538,33.23076923076923,34.830769230769235,21.1,80.35692307692308
23,24,Oakland Raiders,13,317.53846153846155,5676.307692307692,966.1538461538462,5.9,19.692307692307693,9.846153846153847,308.9230769230769,356.9230769230769,505.84615384615387,3745.230769230769,23.384615384615383,9.846153846153847,7.1,189.53846153846155,435.6923076923077,1931.076923076923,13.538461538461538,4.4,105.84615384615384,131.69230769230768,1148.3076923076924,13.538461538461538,38.892307692307696,11.3,68.87384615384616,2019,29,16.0,450.46153846153845,6022.153846153846,980.9230769230769,6.1,17.23076923076923,6.153846153846154,356.9230769230769,339.6923076923077,529.2307692307693,4294.153846153846,36.92307692307692,11.076923076923077,7.6,206.76923076923077,418.46153846153845,1728.0,16.0,4.1,99.6923076923077,88.61538461538461,738.4615384615385,50.46153846153846,51.93846153846154,9.6,-192.08615384615385
24,25,New York Jets,14,304.0,4723.692307692308,1022.7692307692307,4.6,28.307692307692307,9.846153846153847,272.0,349.53846153846155,564.9230769230769,3387.076923076923,20.923076923076923,18.46153846153846,5.4,178.46153846153845,398.7692307692308,1336.6153846153845,7.384615384615385,3.4,60.30769230769231,135.3846153846154,1307.076923076923,33.23076923076923,27.569230769230767,12.1,-118.84307692307692,2019,26,17.23076923076923,422.15384615384613,5662.7692307692305,1120.0,5.1,19.692307692307693,9.846153846153847,331.0769230769231,390.15384615384613,625.2307692307693,4132.923076923077,29.53846153846154,9.846153846153847,6.2,204.30769230769232,457.84615384615387,1529.8461538461538,14.76923076923077,3.3,81.23076923076923,120.61538461538461,1019.0769230769231,45.53846153846154,44.184615384615384,8.2,-31.950769230769232
25,26,New York Giants,13,304.0,4990.7692307692305,994.4615384615385,5,34.46153846153846,18.46153846153846,295.38461538461536,368.0,601.8461538461538,3490.4615384615386,27.076923076923077,16.0,5.4,179.69230769230768,347.0769230769231,1500.3076923076924,7.384615384615385,4.3,83.6923076923077,96.0,825.8461538461538,32.0,32.86153846153846,19.2,-54.48615384615385,2019,28,16.0,445.53846153846155,6020.923076923077,1049.8461538461538,5.7,18.46153846153846,6.153846153846154,333.53846153846155,361.84615384615387,537.8461538461538,4188.307692307692,29.53846153846154,12.307692307692308,7.3,206.76923076923077,476.3076923076923,1832.6153846153845,17.23076923076923,3.8,94.76923076923077,119.38461538461539,952.6153846153846,32.0,48.73846153846154,9.4,-98.84307692307692
26,27,Chicago Bears,13,299.0769230769231,4631.384615384615,988.3076923076923,4.7,18.46153846153846,6.153846153846154,289.2307692307692,366.7692307692308,561.2307692307693,3273.846153846154,23.384615384615383,12.307692307692308,5.4,174.76923076923077,384.0,1357.5384615384614,8.615384615384615,3.5,78.76923076923077,109.53846153846153,884.9230769230769,35.69230769230769,35.69230769230769,9.7,-33.68615384615385,2019,4,16.0,285.53846153846155,5223.384615384615,1044.923076923077,5,19.692307692307693,9.846153846153847,313.84615384615387,382.7692307692308,595.6923076923077,3682.4615384615386,17.23076923076923,9.846153846153847,5.8,199.3846153846154,412.3076923076923,1540.923076923077,14.76923076923077,3.7,83.6923076923077,119.38461538461539,962.4615384615385,30.76923076923077,35.07692307692308,10.6,8.910769230769231
27,28,Denver Broncos,13,290.46153846153845,4849.2307692307695,951.3846153846154,5.1,17.23076923076923,6.153846153846154,274.46153846153845,308.9230769230769,494.7692307692308,3138.4615384615386,17.23076923076923,11.076923076923077,5.8,158.76923076923077,411.0769230769231,1710.7692307692307,11.076923076923077,4.2,78.76923076923077,108.3076923076923,897.2307692307693,36.92307692307692,39.63076923076923,9.8,-4.935384615384615,2019,10,16.0,321.2307692307692,5298.461538461538,1011.6923076923077,5.2,18.46153846153846,7.384615384615385,304.0,344.61538461538464,532.9230769230769,3454.769230769231,18.46153846153846,11.076923076923077,6,169.84615384615384,440.61538461538464,1843.6923076923076,11.076923076923077,4.2,100.92307692307692,121.84615384615384,1010.4615384615385,33.23076923076923,44.55384615384616,9.2,-27.433846153846154
28,29,Jacksonville Jaguars,13,283.0769230769231,5618.461538461538,1036.3076923076924,5.4,22.153846153846153,13.538461538461538,296.61538461538464,376.61538461538464,601.8461538461538,3835.076923076923,22.153846153846153,8.615384615384615,6,183.3846153846154,392.61538461538464,1783.3846153846155,3.6923076923076925,4.5,84.92307692307692,141.53846153846155,1249.2307692307693,28.307692307692307,39.13846153846154,11.5,-39.65538461538461,2019,24,16.0,414.7692307692308,5969.2307692307695,983.3846153846154,6.1,18.46153846153846,8.615384615384615,329.84615384615387,321.2307692307692,505.84615384615387,3712.0,24.615384615384617,9.846153846153847,6.7,185.84615384615384,429.53846153846155,2257.230769230769,23.384615384615383,5.3,109.53846153846153,102.15384615384616,900.9230769230769,34.46153846153846,46.276923076923076,8.7,-117.76
29,30,Miami Dolphins,13,272.0,4535.384615384615,980.9230769230769,4.6,29.53846153846154,8.615384615384615,292.9230769230769,354.46153846153845,588.3076923076923,3458.4615384615386,18.46153846153846,20.923076923076923,5.3,193.23076923076923,329.84615384615387,1076.923076923077,9.846153846153847,3.3,57.84615384615385,92.3076923076923,793.8461538461538,41.84615384615385,34.830769230769235,15.9,-71.28615384615385,2019,32,16.0,491.0769230769231,6363.076923076923,1043.6923076923076,6.1,12.307692307692308,1.2307692307692308,361.84615384615387,337.2307692307692,530.4615384615385,4105.846153846154,38.15384615384615,11.076923076923077,7.4,212.92307692307693,492.3076923076923,2257.230769230769,13.538461538461538,4.6,115.6923076923077,112.0,1133.5384615384614,33.23076923076923,58.95384615384615,6.8,-178.95384615384617
30,31,Cincinnati Bengals,13,243.69230769230768,5000.615384615385,1025.2307692307693,4.9,28.307692307692307,14.76923076923077,302.7692307692308,356.9230769230769,616.6153846153846,3628.3076923076924,14.76923076923077,13.538461538461538,5.4,183.3846153846154,355.6923076923077,1372.3076923076924,7.384615384615385,3.9,82.46153846153847,92.3076923076923,786.4615384615385,36.92307692307692,33.84615384615385,15.5,-83.36,2019,22,16.0,400.0,6391.384615384615,1021.5384615384615,6.3,14.76923076923077,6.153846153846154,326.15384615384613,307.6923076923077,481.2307692307692,3884.3076923076924,19.692307692307693,8.615384615384615,7.7,177.23076923076923,514.4615384615385,2507.076923076923,18.46153846153846,4.9,130.46153846153845,132.92307692307693,1080.6153846153845,18.46153846153846,48.36923076923077,8.3,-131.97538461538463
31,32,Washington Redskins,13,231.3846153846154,4198.153846153846,871.3846153846154,4.8,22.153846153846153,7.384615384615385,235.07692307692307,285.53846153846155,462.7692307692308,2580.923076923077,14.76923076923077,14.76923076923077,5,147.69230769230768,354.46153846153845,1617.2307692307693,7.384615384615385,4.6,68.92307692307692,114.46153846153847,878.7692307692307,18.46153846153846,32.73846153846154,12.6,-103.37230769230769,2019,20,16.0,381.53846153846155,5757.538461538462,1064.6153846153845,5.4,24.615384615384617,8.615384615384615,340.9230769230769,356.9230769230769,519.3846153846154,3600.0,28.307692307692307,16.0,6.3,192.0,496.0,2157.5384615384614,13.538461538461538,4.3,115.6923076923077,89.84615384615384,784.0,33.23076923076923,47.50769230769231,13.6,-79.5323076923077
